seed,method,Dr_subset_size,acc_forget,acc_retain
3407,our,1,0.95,0.99
3407,our,0.9,0.95,0.99
3407,our,0.8,0.95,0.99
3407,our,0.7,0.94,0.99
3407,our,0.6,0.93,0.99
3407,our,0.5,0.93,0.98
3407,our,0.4,0.97,0.99
3407,our,0.3,0.95,0.98
3407,our,0.2,0.95,0.98
3407,our,0.1,0.93,0.98
3407,our,0,1,0.22
3407,unsir,1,1,1
3407,unsir,0.9,1,1
3407,unsir,0.8,1,1
3407,unsir,0.7,1,1
3407,unsir,0.6,1,1
3407,unsir,0.5,1,1
3407,unsir,0.4,1,1
3407,unsir,0.3,1,1
3407,unsir,0.2,1,1
3407,unsir,0.1,0.99,1
3407,unsir,0,1,1
3407,ssd,1,0.99,1
3407,ssd,0.9,0.99,1
3407,ssd,0.8,1,1
3407,ssd,0.7,0.97,0.98
3407,ssd,0.6,0.97,0.98
3407,ssd,0.5,1,1
3407,ssd,0.4,0.95,0.95
3407,ssd,0.3,0.99,1
3407,ssd,0.2,1,1
3407,ssd,0.1,0.91,0.9
3407,ssd,0,0.98,0.98
3407,scrub,1,1,1
3407,scrub,0.9,1,1
3407,scrub,0.8,1,1
3407,scrub,0.7,1,1
3407,scrub,0.6,1,1
3407,scrub,0.5,1,1
3407,scrub,0.4,1,1
3407,scrub,0.3,1,1
3407,scrub,0.2,1,1
3407,scrub,0.1,1,1
3407,scrub,0,1,1
3407,bad-teacher,1,0.98,0.99
3407,bad-teacher,0.9,0.98,0.99
3407,bad-teacher,0.8,0.98,0.99
3407,bad-teacher,0.7,0.98,0.99
3407,bad-teacher,0.6,0.98,0.99
3407,bad-teacher,0.5,0.98,0.98
3407,bad-teacher,0.4,0.99,0.99
3407,bad-teacher,0.3,0.99,0.99
3407,bad-teacher,0.2,0.99,0.99
3407,bad-teacher,0.1,0.99,0.99
3407,bad-teacher,0,0.23,0.23
3407,amnesiac,1,0.99,1
3407,amnesiac,0.9,0.99,1
3407,amnesiac,0.8,0.99,1
3407,amnesiac,0.7,0.99,1
3407,amnesiac,0.6,0.99,1
3407,amnesiac,0.5,0.99,1
3407,amnesiac,0.4,0.99,1
3407,amnesiac,0.3,0.99,1
3407,amnesiac,0.2,1,1
3407,amnesiac,0.1,0.99,1
3407,amnesiac,0,0.02,0.01
3407,neggrad,1,1,1
3407,neggrad,0.9,1,1
3407,neggrad,0.8,1,1
3407,neggrad,0.7,1,1
3407,neggrad,0.6,1,1
3407,neggrad,0.5,1,1
3407,neggrad,0.4,1,1
3407,neggrad,0.3,1,1
3407,neggrad,0.2,1,1
3407,neggrad,0.1,1,1
3407,neggrad,0,0.99,0.99
3407,finetune,1,1,1
3407,finetune,0.9,1,1
3407,finetune,0.8,1,1
3407,finetune,0.7,1,1
3407,finetune,0.6,1,1
3407,finetune,0.5,1,1
3407,finetune,0.4,1,1
3407,finetune,0.3,1,1
3407,finetune,0.2,1,1
3407,finetune,0.1,1,1
3407,finetune,0,1,1
13,our,1,0.95,0.99
13,our,0.9,0.94,0.99
13,our,0.8,0.93,0.99
13,our,0.7,0.94,0.99
13,our,0.6,0.97,0.99
13,our,0.5,0.92,0.98
13,our,0.4,0.96,0.99
13,our,0.3,0.96,0.98
13,our,0.2,0.95,0.98
13,our,0.1,0.93,0.98
13,our,0,1,0.19
13,unsir,1,1,1
13,unsir,0.9,1,1
13,unsir,0.8,1,1
13,unsir,0.7,1,1
13,unsir,0.6,1,1
13,unsir,0.5,1,1
13,unsir,0.4,1,1
13,unsir,0.3,1,1
13,unsir,0.2,1,1
13,unsir,0.1,0.99,1
13,unsir,0,1,1
13,ssd,1,0.98,0.99
13,ssd,0.9,0.37,0.37
13,ssd,0.8,1,1
13,ssd,0.7,1,1
13,ssd,0.6,0.98,0.99
13,ssd,0.5,0.55,0.55
13,ssd,0.4,0.1,0.1
13,ssd,0.3,0.96,0.96
13,ssd,0.2,1,1
13,ssd,0.1,1,1
13,ssd,0,1,1
13,scrub,1,1,1
13,scrub,0.9,1,1
13,scrub,0.8,1,1
13,scrub,0.7,1,1
13,scrub,0.6,1,1
13,scrub,0.5,1,1
13,scrub,0.4,1,1
13,scrub,0.3,1,1
13,scrub,0.2,1,1
13,scrub,0.1,1,1
13,scrub,0,1,1
13,bad-teacher,1,0.99,0.99
13,bad-teacher,0.9,0.98,0.99
13,bad-teacher,0.8,0.98,0.99
13,bad-teacher,0.7,0.98,0.99
13,bad-teacher,0.6,0.98,0.99
13,bad-teacher,0.5,0.98,0.99
13,bad-teacher,0.4,0.98,0.98
13,bad-teacher,0.3,0.98,0.98
13,bad-teacher,0.2,0.99,0.98
13,bad-teacher,0.1,0.99,0.99
13,bad-teacher,0,0.3,0.3
13,amnesiac,1,1,1
13,amnesiac,0.9,0.99,1
13,amnesiac,0.8,0.99,1
13,amnesiac,0.7,0.99,1
13,amnesiac,0.6,1,1
13,amnesiac,0.5,1,1
13,amnesiac,0.4,0.99,1
13,amnesiac,0.3,0.99,1
13,amnesiac,0.2,0.99,1
13,amnesiac,0.1,0.99,0.99
13,amnesiac,0,0.01,0
13,neggrad,1,1,1
13,neggrad,0.9,1,1
13,neggrad,0.8,1,1
13,neggrad,0.7,1,1
13,neggrad,0.6,1,1
13,neggrad,0.5,1,1
13,neggrad,0.4,1,1
13,neggrad,0.3,1,1
13,neggrad,0.2,1,1
13,neggrad,0.1,1,0.99
13,neggrad,0,1,0.99
13,finetune,1,1,1
13,finetune,0.9,1,1
13,finetune,0.8,1,1
13,finetune,0.7,1,1
13,finetune,0.6,1,1
13,finetune,0.5,1,1
13,finetune,0.4,1,1
13,finetune,0.3,1,1
13,finetune,0.2,1,1
13,finetune,0.1,1,1
13,finetune,0,1,1
12,our,1,0.95,0.99
12,our,0.9,0.94,0.99
12,our,0.8,0.95,0.99
12,our,0.7,0.93,0.99
12,our,0.6,0.93,0.98
12,our,0.5,0.93,0.98
12,our,0.4,0.97,0.99
12,our,0.3,0.96,0.98
12,our,0.2,0.95,0.98
12,our,0.1,0.92,0.98
12,our,0,1,0.17
12,unsir,1,1,1
12,unsir,0.9,1,1
12,unsir,0.8,1,1
12,unsir,0.7,1,1
12,unsir,0.6,1,1
12,unsir,0.5,1,1
12,unsir,0.4,1,1
12,unsir,0.3,1,1
12,unsir,0.2,1,1
12,unsir,0.1,0.99,0.99
12,unsir,0,1,1
12,ssd,1,0.98,0.99
12,ssd,0.9,0.37,0.37
12,ssd,0.8,1,1
12,ssd,0.7,1,1
12,ssd,0.6,0.98,0.99
12,ssd,0.5,0.55,0.55
12,ssd,0.4,0.1,0.1
12,ssd,0.3,0.96,0.96
12,ssd,0.2,1,1
12,ssd,0.1,1,1
12,ssd,0,1,0.99
12,scrub,1,1,1
12,scrub,0.9,1,1
12,scrub,0.8,1,1
12,scrub,0.7,1,1
12,scrub,0.6,1,1
12,scrub,0.5,1,1
12,scrub,0.4,1,1
12,scrub,0.3,1,1
12,scrub,0.2,1,1
12,scrub,0.1,1,1
12,scrub,0,1,1
12,bad-teacher,1,0.98,0.99
12,bad-teacher,0.9,0.99,0.99
12,bad-teacher,0.8,0.98,0.99
12,bad-teacher,0.7,0.98,0.99
12,bad-teacher,0.6,0.98,0.99
12,bad-teacher,0.5,0.98,0.98
12,bad-teacher,0.4,0.99,0.98
12,bad-teacher,0.3,0.99,0.99
12,bad-teacher,0.2,0.99,0.99
12,bad-teacher,0.1,0.99,0.99
12,bad-teacher,0,0.31,0.32
12,amnesiac,1,0.99,1
12,amnesiac,0.9,0.99,1
12,amnesiac,0.8,0.99,1
12,amnesiac,0.7,0.99,1
12,amnesiac,0.6,0.99,1
12,amnesiac,0.5,0.99,1
12,amnesiac,0.4,0.99,1
12,amnesiac,0.3,0.99,1
12,amnesiac,0.2,0.99,1
12,amnesiac,0.1,0.99,0.99
12,amnesiac,0,0.01,0.01
12,neggrad,1,1,1
12,neggrad,0.9,1,1
12,neggrad,0.8,1,1
12,neggrad,0.7,1,1
12,neggrad,0.6,1,1
12,neggrad,0.5,1,1
12,neggrad,0.4,1,1
12,neggrad,0.3,1,1
12,neggrad,0.2,1,0.99
12,neggrad,0.1,0.99,0.99
12,neggrad,0,0.99,0.99
12,finetune,1,1,1
12,finetune,0.9,1,1
12,finetune,0.8,1,1
12,finetune,0.7,1,1
12,finetune,0.6,1,1
12,finetune,0.5,1,1
12,finetune,0.4,1,1
12,finetune,0.3,1,1
12,finetune,0.2,1,1
12,finetune,0.1,1,1
12,finetune,0,1,1
