method,seed,mia,forget,retain,time,alpha
retrained,3407,0.73,0.89,0.96,1.96,
our,3407,1,0.96,0.98,0.3,1024
our,3407,0,0.95,0.98,0.3,512
our,3407,0,0.96,0.98,0.3,256
our,3407,0.41,0.97,0.98,0.3,128
our,3407,0.43,0.95,0.99,0.3,64
our,3407,0.36,0.98,0.99,0.3,32
our,3407,0.4,0.99,0.99,0.3,16
our,3407,0.43,0.99,0.99,0.3,8
unsir,3407,0.47,0.99,0.99,0.46,
ssd,3407,0.44,0.33,0.33,0.54,
scrub,3407,0.94,1,1,0.58,
bad-teacher,3407,0.56,0.99,0.99,0.3,
amnesiac,3407,0,0.99,1,0.58,
neggrad,3407,0.45,1,1,0.49,
finetune,3407,0.44,1,1,0.43,
original,3407,0.94,1,1,7,
retrained,13,0.77,0.93,1,5.58,
our,13,1,0.95,0.98,0.31,1024
our,13,1,0.96,0.98,0.3,512
our,13,1,0.95,0.98,0.3,256
our,13,0,0.96,0.98,0.3,128
our,13,0.35,0.95,0.99,0.3,64
our,13,0.38,0.96,0.99,0.31,32
our,13,0.41,0.99,0.99,0.3,16
our,13,0.4,0.99,0.99,0.3,8
scrub,13,0.95,1,1,0.58,
unsir,13,0.45,1,0.99,0.48,
ssd,13,0.89,1,1,0.54,
bad-teacher,13,0.24,0.99,0.98,0.3,
amnesiac,13,0,0.99,1,0.57,
neggrad,13,0.44,1,1,0.48,
finetune,13,0,1,1,0.42,
original,13,0.94,1,1,6.46,
our,12,0.61,0.96,0.99,0.3,1024
our,12,1,0.96,0.98,0.3,512
our,12,1,0.96,0.98,0.3,256
our,12,1,0.97,0.98,0.3,128
our,12,0,0.95,0.99,0.3,64
our,12,0.4,0.97,0.99,0.3,32
our,12,0.42,0.99,0.99,0.31,16
our,12,0.41,0.99,0.99,0.3,8
amnesiac,12,0,0.96,1,0.57,
scrub,12,0.94,1,1,0.57,
unsir,12,0.45,0.99,0.99,0.45,
ssd,12,0.92,0.99,0.99,0.54,
bad-teacher,12,0.63,0.99,0.99,0.3,
neggrad,12,0.45,1,1,0.49,
finetune,12,0,1,1,0.42,
retrained,12,0.79,0.93,1,5.84,
original,12,0.94,1,1,6.23,
