method,alpha,seed,mia,forget,retain,time
our,4,3407,0.6,0.85,0.89,0.58
our,2,3407,0.62,0.87,0.89,0.59
our,1024,3407,0.57,0.66,0.84,0.59
our,512,3407,0.57,0.66,0.84,0.59
our,256,3407,0.57,0.66,0.84,0.59
our,128,3407,0.56,0.66,0.84,0.59
our,64,3407,0.56,0.65,0.84,0.59
our,32,3407,0.57,0.66,0.85,0.58
our,16,3407,0.61,0.72,0.86,0.59
our,8,3407,0.63,0.79,0.88,0.59
unsir,,3407,0.59,0.97,0.98,1.76
ssd,,3407,0.7,0.9,0.9,1.09
scrub,,3407,0.72,0.9,0.9,1.22
bad-teacher,,3407,0.31,0.67,0.85,0.63
amnesiac,,3407,1,0.91,0.98,1.08
neggrad,,3407,0.62,0.99,0.99,0.92
finetune,,3407,0.62,0.97,0.99,0.77
retrained,,3407,0.46,0.49,0.86,2.27
original,,3407,0.71,0.92,0.91,3.37
our,4,13,0.41,0.87,0.89,0.59
our,2,13,0.61,0.9,0.9,0.58
our,1024,13,0.4,0.66,0.85,0.59
our,512,13,0.4,0.66,0.85,0.59
our,256,13,0.4,0.66,0.85,0.59
our,128,13,0.4,0.66,0.85,0.59
our,64,13,0.4,0.66,0.85,0.58
our,32,13,0.42,0.66,0.85,0.58
our,16,13,0.42,0.71,0.86,0.59
our,8,13,0.4,0.81,0.87,0.59
unsir,,13,0.6,0.99,0.99,1.78
ssd,,13,0.72,0.92,0.91,1.09
scrub,,13,0.72,0.92,0.91,1.22
bad-teacher,,13,0.33,0.66,0.87,0.63
amnesiac,,13,0.6,0.9,0.99,1.08
neggrad,,13,0.56,1,0.99,0.92
finetune,,13,0.58,0.99,0.99,0.77
retrained,,13,0.51,0.43,0.88,3.23
original,,13,0.73,0.9,0.92,4.62
our,4,12,0.42,0.79,0.82,0.59
our,2,12,0.58,0.81,0.82,0.58
our,1024,12,0.4,0.62,0.79,0.59
our,512,12,0.4,0.62,0.79,0.59
our,256,12,0.4,0.62,0.79,0.59
our,128,12,0.4,0.63,0.79,0.59
our,64,12,0.4,0.62,0.79,0.59
our,32,12,0.4,0.63,0.79,0.59
our,16,12,0.38,0.67,0.8,0.59
our,8,12,0.37,0.74,0.81,0.59
unsir,,12,1,0.96,0.97,1.78
ssd,,12,0.63,0.79,0.81,1.09
scrub,,12,0.65,0.82,0.84,1.22
bad-teacher,,12,0.31,0.64,0.8,0.63
amnesiac,,12,0.38,0.89,0.97,1.08
neggrad,,12,0.45,0.99,0.99,0.92
finetune,,12,0.43,0.98,0.99,0.77
retrained,,12,0.49,0.49,0.94,3.84
original,,12,0.63,0.82,0.84,3.18
